BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;SEMA-MT;SEMA-MT;;;Fluviométrica;66448000;SÃO PEDRO DA CIPA;-16.4794;-54.6517;12300;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Sim;;;;;31/12/1989;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66448000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66448000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66448000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66448000;-54.65169999999995;-16.47939999999994
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;SEMA-MT;SEMA-MT;;;Fluviométrica;66440900;RIO VERMELHO MONTANTE ROND;-16.4942;-54.6094;;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/10/2019;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66440900;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66440900;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66440900;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66440900;-54.60939999999994;-16.494199999999978
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;SEMA-MT;SEMA-MT;;;Fluviométrica;66434000;PONTE MT 270 RIO VERMELHO;-16.4686;-54.4811;;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/7/2018;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66434000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66434000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66434000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66434000;-54.48109999999997;-16.46859999999998
6 - RIO PARANÁ;RIO VERMELHO;MT;RONDONÓPOLIS;SEMA-MT;HYDROCONSULT;;1;Fluviométrica;66450010;RONDONÓPOLIS;-16.4789;-54.6506;12400;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;Não;Sim;30/9/2011;;30/9/2011;;;;;;;30/9/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66450010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66450010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66450010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66450010;-54.65059999999994;-16.478899999999953
6 - RIO PARANÁ;CÓRREGO ARARÉU;MT;RONDONÓPOLIS;SEMA-MT;SEMA-MT;;;Fluviométrica;66435050;CÓRREGO ARARÉU;-16.4747;-54.6292;;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/10/2019;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66435050;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66435050;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66435050;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66435050;-54.62919999999997;-16.474699999999928
6 - RIO PARANÁ;RIO JORIGUE;MT;PEDRA PRETA;SEMA-MT;SEMA-MT;;;Fluviométrica;66440001;PEDRA PRETA;-16.6067;-54.4586;2180;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/12/2015;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66440001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66440001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66440001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66440001;-54.45859999999993;-16.606699999999933
6 - RIO PARANÁ;RIO TADARIMANA;MT;PEDRA PRETA;BJ. AGROP. LTDA;BJ. AGROP. LTDA;;;Fluviométrica;66432500;BOM JESUS;-16.7247;-53.8278;617;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;Não;Sim;31/8/2010;;31/8/2010;;;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66432500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66432500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66432500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66432500;-53.82779999999997;-16.724699999999928
6 - RIO PARANÁ;RIO TADARIMANA;MT;PEDRA PRETA;BJ. AGROP. LTDA;BJ. AGROP. LTDA;;;Fluviométrica;66432000;SANTA CLARA;-16.7486;-53.8586;588;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;Não;Sim;31/8/2010;;31/8/2010;;;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66432000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66432000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66432000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66432000;-53.85859999999997;-16.748599999999954
6 - RIO PARANÁ;RIO TADARIMANA;MT;PEDRA PRETA;BJ. AGROP. LTDA;BJ. AGROP. LTDA;;;Fluviométrica;66431500;SÃO JOÃO;-16.7611;-53.8686;494;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;Não;Sim;30/9/2010;;30/9/2010;;;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66431500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66431500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66431500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66431500;-53.86859999999996;-16.761099999999942
6 - RIO PARANÁ;RIO TADARIMANA;MT;PEDRA PRETA;BJ. AGROP. LTDA;BJ. AGROP. LTDA;;;Fluviométrica;66431000;SANTO ANTÔNIO;-16.7933;-53.8861;172;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;Não;Sim;31/8/2010;;31/8/2010;;;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66431000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66431000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66431000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66431000;-53.88609999999994;-16.79329999999993
