BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;;MT;ITIQUIRA;ITISA;ITISA;;1;Pluviométrica;1754020;UHE ITIQUIRA RIO CACHOEIRA;-17.1244;-54.7239;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/11/2014;;;;30/11/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754020;-54.72389999999996;-17.12439999999998
6 - RIO PARANÁ;;MT;ITIQUIRA;ITISA;ITISA;;1;Pluviométrica;1754019;UHE ITIQUIRA RIO SOZINHO;-17.2981;-54.76;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/11/2014;;;;30/11/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754019;-54.759999999999934;-17.298099999999977
6 - RIO PARANÁ;;MT;ITIQUIRA;ITISA;ITISA;;1;Pluviométrica;1754018;UHE ITIQUIRA JUSANTE;-17.0953;-54.9361;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2015;;;;31/12/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754018;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754018;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754018;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754018;-54.93609999999995;-17.095299999999952
6 - RIO PARANÁ;;MT;ITIQUIRA;ITISA;ITISA;;1;Pluviométrica;1754017;UHE ITIQUIRA MONTANTE;-17.1386;-54.8192;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2015;;;;31/12/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754017;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754017;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754017;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754017;-54.81919999999997;-17.13859999999994
6 - RIO PARANÁ;;MT;ITIQUIRA;ITISA;ITISA;;1;Pluviométrica;1754016;UHE ITIQUIRA BARRAMENTO;-17.0908;-54.8311;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2015;;;;31/12/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1754016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1754016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1754016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1754016;-54.831099999999935;-17.090799999999945
6 - RIO PARANÁ;;MT;JACIARA;ANA;CPRM;CPRM-GO;18;Pluviométrica;1554006;JACIARA;-15.9889;-54.9683;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/10/1965;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1554006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1554006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1554006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1554006;-54.96829999999994;-15.988899999999944
6 - RIO PARANÁ;;MT;JACIARA;SEMA-MT;HYDROCONSULT;;;Pluviométrica;1554008;RIO SÃO LOURENÇO - SÃO PEDRO DA CIPA;-15.9981;-54.9217;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/9/2011;;;;30/9/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1554008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1554008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1554008;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1554008;-54.92169999999999;-15.998099999999965
6 - RIO PARANÁ;;MT;JACIARA;PEQUI;PEQUI;;1;Pluviométrica;1555020;PCH PEQUI JUSANTE;-15.9964;-55.0961;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/9/2011;;;;30/9/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1555020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1555020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1555020;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1555020;-55.09609999999998;-15.996399999999937
6 - RIO PARANÁ;;MT;JACIARA;JACIARA;JACIARA;;1;Pluviométrica;1555014;PCH CACHOEIRA DA FUMAÇA JUSANTE;-15.9792;-55.0328;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2014;;;;31/7/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1555014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1555014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1555014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1555014;-55.03279999999995;-15.979199999999935
6 - RIO PARANÁ;;MT;JACIARA;CAMBARÁ;CAMBARÁ;;1;Pluviométrica;1555021;CGH CAMBARÁ JUSANTE;-15.9767;-55.0836;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/5/2015;;;;31/5/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1555021;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1555021;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1555021;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1555021;-55.08359999999993;-15.976699999999937
